"paket;takstorlek(m2);effekt(kWp);antal_solpaneler;pris_inkl_avdrag(20%)"
"1;25;4.9;12;87995"
"2;50;10.3;25;130999"
"3;70;14.4;35;164999"
"4;90;18.5;45;195999"
